2,145,22,823,823
2,9,77,0,0
2,9,84,565,565
2,9,11,173,173
3,2,37,0,0
3,2,145,828,828
3,2,9,173,173
3,2,4,0,0
4,3,2,1024,1024
4,2,3,0,0
4,2,37,0,0
4,2,145,0,0
4,2,9,21,21
5,6,4,435,435
5,6,11,0,0
5,6,27,0,0
5,6,10,0,0
6,4,3,1024,1024
6,4,2,21,21
6,4,11,0,0
6,10,7,756,756
7,10,6,498,498
7,47,91,481,481
7,8,46,0,0
7,8,123,888,888
7,8,45,0,0
8,45,44,335,335
8,7,40,0,0
8,7,10,392,392
8,7,47,0,0
8,123,41,1056,1056
9,84,56,691,691
9,11,6,760,760
9,11,4,16,16
11,4,6,0,0
11,4,3,16,16
11,4,2,0,0
11,6,27,0,0
11,6,10,760,760
11,6,5,0,0
11,6,4,0,0
15,16,36,654,654
15,16,17,0,0
16,36,24,929,929
16,36,34,0,0
17,37,87,136,136
17,37,2,535,535
17,37,14,551,551
17,16,15,0,0
17,16,36,275,275
18,19,57,0,0
18,19,134,397,397
18,17,37,687,687
18,17,16,275,275
18,17,35,0,0
18,17,57,0,0
19,134,139,239,239
19,134,135,1444,1444
19,134,133,242,242
20,18,17,210,210
20,18,19,396,396
20,18,133,0,0
20,130,133,0,0
20,130,131,3239,3239
20,130,75,109,109
20,87,37,355,355
20,87,88,712,712
21,20,87,590,590
21,20,18,309,309
21,20,130,892,892
22,21,20,1795,1795
22,38,75,838,838
22,38,39,288,288
23,22,145,0,0
23,22,21,1472,1472
23,22,38,207,207
23,77,9,741,741
24,89,14,73,73
24,89,112,0,0
24,89,90,335,335
24,89,31,0,0
24,32,31,0,0
24,32,65,925,925
24,32,25,0,0
25,142,33,104,104
25,64,34,260,260
25,24,36,0,0
25,24,89,454,454
25,24,32,0,0
26,14,112,387,387
26,14,89,0,0
26,14,15,642,642
26,14,37,169,169
26,28,29,630,630
28,26,122,0,0
28,26,14,1218,1218
28,29,30,630,630
29,28,26,1218,1218
29,30,27,630,630
30,29,28,1218,1218
30,27,62,629,629
30,27,6,0,0
27,6,10,1,1
27,6,5,0,0
27,6,4,149,149
27,6,11,0,0
27,30,29,1218,1218
27,62,52,629,629
31,32,65,497,497
31,32,25,59,59
31,32,24,0,0
31,89,24,0,0
31,89,14,1429,1429
31,89,112,0,0
31,89,90,0,0
31,72,98,450,450
32,25,66,0,0
32,25,142,59,59
32,25,64,0,0
32,25,24,0,0
32,65,70,1209,1209
32,65,67,211,211
33,80,61,104,104
33,57,19,1640,1640
33,57,17,296,296
33,142,25,735,735
34,35,17,260,260
34,36,16,0,0
34,36,24,0,0
36,24,89,0,0
36,24,32,926,926
36,24,25,0,0
38,75,130,0,0
38,75,125,698,698
38,75,42,140,140
38,39,42,0,0
38,39,23,260,260
