1,1,678,0,7192,6420,772
1,2,514,0,6158,6039,119
1,3,1547,0,7921,7530,391
1,4,0,0,0,0,0
1,5,1385,0,1108,1027,81
1,6,0,0,0,0,0
1,7,583,0,0,0,0
1,8,1463,0,4617,4129,488
1,9,1085,0,6372,5330,1042
1,10,1084,0,4193,3659,534
1,11,564,0,335,320,15
1,12,900,0,3257,2986,271
1,13,172,0,1480,1468,12
1,14,1802,0,6182,6004,178
1,15,1786,0,1716,1544,172
1,16,0,0,0,0,0
1,17,0,0,0,0,0
1,18,1247,0,723,630,93
1,19,1530,0,4519,4174,345
1,20,5,0,0,0,0
1,21,23,0,0,0,0
1,22,0,0,0,0,0
1,23,1417,0,5056,4887,169
1,24,0,0,0,0,0
1,25,0,0,0,0,0
1,26,864,0,363,362,1
1,27,371,0,41,41,0
1,28,300,0,78,78,0
