1,1,4,128
1,1,6,31
1,1,8,5
1,1,10,226
1,1,13,8
1,1,14,85
1,1,15,3
1,1,24,46
1,1,26,146
1,2,25,511
1,2,26,3
1,3,9,2
1,3,10,133
1,3,13,14
1,3,14,432
1,3,15,2
1,3,16,196
1,3,17,7
1,3,19,22
1,3,21,2
1,3,22,8
1,3,24,441
1,3,25,193
1,3,26,95
1,5,10,1
1,5,13,193
1,5,15,157
1,5,16,636
1,5,17,8
1,5,19,29
1,5,21,45
1,5,22,24
1,5,24,139
1,5,25,4
1,5,26,104
1,5,28,45
1,7,10,207
1,7,25,3
1,7,26,63
1,7,27,310
1,8,10,39
1,8,11,975
1,8,12,141
1,8,13,77
1,8,15,16
1,8,16,51
1,8,17,2
1,8,19,3
1,8,21,1
1,8,28,158
1,9,10,10
1,9,11,234
1,9,12,206
1,9,13,97
1,9,15,35
1,9,16,36
1,9,17,29
1,9,19,27
1,9,21,50
1,9,22,54
1,9,24,13
1,9,25,5
1,9,26,87
1,9,28,202
1,10,2,63
1,10,4,113
1,10,9,46
1,10,11,5
1,10,12,4
1,10,13,198
1,10,15,17
1,10,16,163
1,10,19,11
1,10,22,41
1,10,25,233
1,10,28,190
1,11,8,409
1,11,9,155
1,12,2,109
1,12,4,93
1,12,6,402
1,12,9,2
1,12,10,7
1,12,13,130
1,12,22,1
1,12,25,70
1,12,26,5
1,12,28,81
1,13,2,20
1,13,6,1
1,13,8,6
1,13,9,43
1,13,16,9
1,13,19,11
1,13,22,47
1,13,24,1
1,13,25,34
1,14,21,2
1,14,22,8
1,14,24,1792
1,15,5,570
1,15,16,47
1,15,17,110
1,15,19,25
1,15,21,7
1,15,22,409
1,15,24,618
1,18,2,62
1,18,4,381
1,18,5,75
1,18,8,15
1,18,9,170
1,18,21,201
1,18,22,293
1,18,24,6
1,18,27,2
1,18,28,42
1,19,2,121
1,19,4,64
1,19,5,41
1,19,8,2
1,19,9,104
1,19,10,74
1,19,13,115
1,19,14,3
1,19,15,13
1,19,21,2
1,19,22,854
1,19,24,21
1,19,27,41
1,19,28,75
1,20,14,5
1,21,14,15
1,21,16,8
1,23,2,46
1,23,4,75
1,23,5,2
1,23,9,127
1,23,10,49
1,23,13,106
1,23,14,242
1,23,15,330
1,23,16,97
1,23,24,112
1,23,26,100
1,23,27,21
1,23,28,110
1,26,2,39
1,26,4,46
1,26,6,118
1,26,9,54
1,26,10,43
1,26,14,21
1,26,22,6
1,26,24,357
1,26,25,180
1,27,6,19
1,27,9,217
1,27,10,3
1,27,25,132
1,28,4,4
1,28,8,61
1,28,9,113
1,28,10,17
1,28,15,15
1,28,16,19
1,28,19,1
1,28,22,8
1,28,24,34
1,28,25,21
1,28,26,7
